BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
163580, 1, 1352.4781, 465.52188, 4.0, 4.0, 12.566370614359172, 1.0
163584, 0, 1712.0, 254.0, 4.0, 4.0, 12.566370614359172, 1.0
163584, 1, 1352.0, 466.0, 4.0, 4.0, 12.566370614359172, 1.0
163592, 0, 1711.0, 255.0, 4.0, 4.0, 12.566370614359172, 1.0
163592, 1, 1351.0, 468.0, 4.0, 4.0, 12.566370614359172, 1.0
163596, 0, 1711.0, 255.48721, 4.0, 4.0, 12.566370614359172, 1.0
163596, 1, 1350.5128, 468.4872, 4.0, 4.0, 12.566370614359172, 1.0
163601, 0, 1711.0, 256.0, 4.0, 4.0, 12.566370614359172, 1.0
163601, 1, 1350.0, 469.0, 4.0, 4.0, 12.566370614359172, 1.0
163609, 0, 1710.0, 257.0, 4.0, 4.0, 12.566370614359172, 1.0
163609, 1, 1350.0, 470.0, 4.0, 4.0, 12.566370614359172, 1.0
163613, 0, 1709.549, 257.4511, 4.0, 4.0, 12.566370614359172, 1.0
163613, 1, 1350.0, 470.4511, 4.0, 4.0, 12.566370614359172, 1.0
163618, 0, 1709.549, 257.4511, 4.0, 4.0, 12.566370614359172, 1.0
163618, 1, 1348.0, 470.0, 4.0, 4.0, 12.566370614359172, 1.0
163626, 0, 1709.549, 257.4511, 4.0, 4.0, 12.566370614359172, 1.0
163626, 1, 1347.0, 471.0, 4.0, 4.0, 12.566370614359172, 1.0
163630, 0, 1709.549, 257.4511, 4.0, 4.0, 12.566370614359172, 1.0
163630, 1, 1346.5554, 471.0, 4.0, 4.0, 12.566370614359172, 1.0
163634, 0, 1710.0, 258.0, 4.0, 4.0, 12.566370614359172, 1.0
163634, 1, 1346.0, 471.0, 4.0, 4.0, 12.566370614359172, 1.0
163643, 0, 1709.0, 258.0, 4.0, 4.0, 12.566370614359172, 1.0
163643, 1, 1346.0, 471.0, 4.0, 4.0, 12.566370614359172, 1.0
163646, 0, 1709.0, 258.38727, 4.0, 4.0, 12.566370614359172, 1.0
163646, 1, 1346.0, 471.0, 4.0, 4.0, 12.566370614359172, 1.0
163651, 0, 1709.0, 259.0, 4.0, 4.0, 12.566370614359172, 1.0
